x	Average	StDev
2.0	0.3539617	0.02798761178468072
2.01	0.3470602	0.03888259649470442
2.02	0.3433002666666667	0.03361540129618165
2.0300002	0.34326529999999994	0.029407583380652007
2.0400002	0.33095556666666665	0.03167928848464459
2.0500002	0.3347177666666667	0.02971118961306215
2.0600002	0.32547550000000003	0.02430625335525819
2.0700002	0.3298991	0.024122635329499115
2.0800002	0.32201609999999997	0.0296731449637547
2.0900002	0.33099646666666666	0.028171050543480482
2.1000001	0.3343038	0.0308979065797345
2.1100001	0.3285897	0.03280349551297846
2.1200001	0.3385264333333334	0.02733917829221161
2.1300001	0.33315290000000003	0.02264802659416485
2.1400001	0.3367384666666666	0.026868128537792392
2.1500001	0.3344746666666667	0.027288893250062993
2.1600001	0.3363599666666666	0.02508154702691468
2.1700001	0.3350665666666666	0.020176273497931507
2.1800001	0.3321612666666667	0.013837740877879345
2.1900001000000002	0.33227256666666666	0.011061020731529833
2.2	0.3255034666666667	0.009453206594766355
2.21	0.3295208333333333	0.01090310207249903
2.22	0.3285712333333333	0.012611407626563065
2.23	0.32735793333333335	0.010696207541616477
2.24	0.3257620666666667	0.01160400388328675
2.25	0.32572170000000006	0.008163919458201436
2.26	0.32155243333333333	0.01192395358609443
2.2700002	0.32610053333333333	0.0037830618939337095
2.2800002	0.32348299999999997	0.004302580467579884
2.2900002	0.3267541333333333	0.00491042228971533
2.3000002	0.32748606666666663	0.007301059205576508
2.3100002	0.3324297	0.006944668192937666
2.3200002	0.33073116666666663	0.004684156870060324
2.3300002	0.3312199	0.008619969824193156
2.3400002	0.3389467	0.021037218511010414
2.3500001	0.33568586666666667	0.018500283368190165
2.3600001	0.33279986666666667	0.022201220516974582
2.3700001	0.33033876666666667	0.013475713358606763
2.3800001	0.32928589999999996	0.006103167626732875
2.3900001	0.32991739999999997	0.012464706041058518
2.4000001	0.33377013333333333	0.009034705977691458
2.4100001	0.3251049	0.01592656719164552
2.4200001	0.32491773333333335	0.016724851523805335
2.4300001	0.3286611666666667	0.006321188149654556
2.4400001000000002	0.32837683333333334	0.01619281614060178
2.45	0.32385126666666664	0.009891719255181727
2.46	0.33360433333333334	0.012306771105506637
2.47	0.3238503	0.005378275166816988
2.48	0.32955033333333333	0.01441595938442297
2.49	0.33239709999999995	0.016433226503641964
2.5	0.3299168333333333	0.012741564448816052
2.5100002	0.33947873333333334	0.018620988586628095
2.5200002	0.33420446666666664	0.016216633348920904
2.5300002	0.33764533333333335	0.006637327918924407
2.5400002	0.33405816666666666	0.0045871804306494915
2.5500002	0.32934616666666666	0.0018277631584352801
2.5600002	0.3324485	0.021088354284533442
2.5700002	0.33332989999999996	0.004440731592879697
2.5800002	0.3375421666666667	0.014005003280732679
2.5900002	0.33449533333333337	0.02062300186911048
2.6000001	0.3375460333333334	0.011314634272628242
2.6100001	0.3302576666666667	0.009505748869149337
2.6200001	0.33134213333333334	0.0009975638392270116
2.6300001	0.32571999999999995	0.000765653152543597
2.6400001	0.32974596666666667	0.0015071580883680535
2.6500001	0.3331445333333333	0.007869947634726225
2.6600001	0.3344416333333333	0.013612132845492416
2.6700001	0.34129539999999997	0.020855690610478508
2.6800001	0.34062936666666666	0.022090832968979075
2.6900001000000002	0.337386	0.018994102592383762
2.7	0.3283536	0.024006657558060883
2.71	0.3334521333333333	0.019604471739206163
2.72	0.3303859	0.020389610631642772
2.73	0.33194889999999994	0.018339427642922776
2.7400002	0.3333181	0.015206189434897861
2.7500002	0.32947846666666664	0.014872128375028654
2.7600002	0.3288439	0.009824279114011417
2.7700002	0.3271177	0.008019437422288412
2.7800002	0.3363877	0.012179018400101072
2.7900002	0.32910883333333335	0.009481935364330096
2.8000002	0.33822630000000004	0.01046953671229057
2.8100002	0.333912	0.018156682775496136
2.8200002	0.3353885333333333	0.01839933351573728
2.8300002	0.33607176666666666	0.022486092986629173
2.8400002	0.33633073333333335	0.025874802841825348
2.8500001	0.3423715333333333	0.022026474935480097
2.8600001	0.33595369999999997	0.027320449826640877
2.8700001	0.33037276666666665	0.016164451220605457
2.8800001	0.33746100000000007	0.018210342279320297
2.8900001	0.3354242	0.01011621524731456
2.9000001	0.34159760000000006	0.007875594462007262
2.9100001	0.3418749333333333	0.007234250096819534
2.9200001	0.34112469999999995	0.015260826966780024
2.9300001	0.33937033333333333	0.018224998881847282
2.9400001000000002	0.333383	0.009194094752067783
2.95	0.3347839666666667	0.0052419458241509094
2.96	0.3393342	0.006929801577967418
2.97	0.33913649999999995	0.009805147109044295
2.9800002999999995	0.3339162	0.01094303713417804
2.9900002	0.3413499	0.010025480622892864
3.0000002	0.34127366666666664	0.004067231518285272
3.0100002	0.33753273333333333	0.005459553985751353
3.0200002	0.33547773333333336	0.009247645949285342
3.0300002	0.3372987333333333	0.006394337245824083
3.0400002	0.3426419666666667	0.007232100733074263
3.0500002	0.33617663333333336	0.006712793625856024
3.0600002	0.3379644333333333	0.007320195744878235
3.0700002	0.3444662	0.0038911777098970977
3.0800002	0.338927	0.007028640702155729
3.0900002	0.3438976333333333	0.008631630465522335
3.1000001	0.34165623333333334	0.004996463961976798
3.1100001	0.3363835	0.0052177663266957525
3.1200001	0.33574980000000004	0.005292175678300956
3.1300001	0.33815293333333335	0.00848916935414375
3.1400001	0.34259253333333334	0.004049611222492006
3.1500001	0.33154290000000003	0.0005144316086711502
3.1600001	0.32981086666666665	0.006130657199137241
3.1700001	0.3406962	0.005013077349293548
3.1800001	0.3453292333333334	0.010984430121009178
3.1900001000000002	0.3370919333333333	0.012745309557768019
3.2	0.3304334666666667	0.013755588389572169
3.21	0.33752693333333333	0.017510624426996704
3.2200002999999997	0.33819019999999994	0.009810842020948026
3.2300002999999995	0.33560283333333335	0.014091684712032607
3.2400002	0.33454306666666667	0.008175485315461896
3.2500002	0.34078230000000004	0.011887760650770206
3.2600002	0.3408094	0.01717225193415237
3.2700002	0.33730920000000003	0.01630606765133763
3.2800002	0.33019886666666665	0.011449249467250368
3.2900002	0.33193326666666667	0.010523147125424662
3.3000002	0.3316721	0.011647667912934334
3.3100002	0.33672526666666663	0.014040735150743833
3.3200002	0.3383622	0.009298240455053841
3.3300002	0.3351584	0.009381622397538689
3.3400002	0.3420847333333334	0.0029483928882246004
3.3500001000000004	0.3427824	0.0053492709306969975
3.3600001000000006	0.33791696666666665	0.007421794086562485
3.3700001000000004	0.3352323666666666	0.005008356750804944
3.3800001	0.34009056666666665	0.005572255839723536
3.3900001000000004	0.3469790333333333	0.009356661851500954
3.4000001	0.3501393666666666	0.006777581297434456
3.4100001000000004	0.35099073333333336	0.0038724647607606875
3.4200001	0.3538786333333333	0.0027794589047750425
3.4300001000000004	0.356396	0.0073811361097055874
3.4400001000000002	0.36099776666666666	0.017453137377083056
3.45	0.3623309666666667	0.012013120777438853
3.4600003	0.3668382666666667	0.013932392497461928
3.4700002999999997	0.3756687666666667	0.012077678782089433
3.4800002999999995	0.37446086666666667	0.006248121907688205
3.4900002	0.37185093333333336	0.0036577533464318313
3.5000002	0.37536210000000003	0.00808268336816431
3.5100002	0.3712062666666667	0.014810861600978295
3.5200002	0.3696085333333334	0.015676692368396236
3.5300002	0.3670807333333333	0.021008133782021998
3.5400002	0.3746559666666667	0.02014243158467549
3.5500002	0.37280926666666664	0.021764474217709287
3.5600002	0.36588909999999997	0.01674627705103437
3.5700002	0.3762889333333334	0.015850462831202526
3.5800002	0.3714201666666667	0.018964866146728616
3.5900002	0.37527	0.008658625842476364
3.6000001000000004	0.3731021666666667	0.011650936665064036
3.6100001000000006	0.3665477	0.009789503298942211
3.6200001000000004	0.3665814	0.011695842539552252
3.6300001	0.3736956333333333	0.024703123276689786
3.6400001000000004	0.3618377666666667	0.023526473090187818
3.6500001	0.3609548	0.02092446082913489
3.6600001000000004	0.3622240333333333	0.01722623471027068
3.6700001	0.36178136666666666	0.009006106709524035
3.6800001000000004	0.3601281333333333	0.006047105615361238
3.6900001000000002	0.3598715666666667	0.01397385601125665
3.7000002999999997	0.3564302666666667	0.016271789462850496
3.7100003	0.3558723	0.02189818813669296
3.7200002999999997	0.3610277	0.027003634462234884
3.7300002999999995	0.3689411	0.020374532117572643
3.7400002	0.3736055333333333	0.02483225939868002
3.7500002	0.3736793666666667	0.02529923480153766
3.7600002	0.3745088333333333	0.029090679682904175
3.7700002	0.37591443333333335	0.016945626183276098
3.7800002	0.37326793333333336	0.01106710059425383
3.7900002	0.38093130000000003	0.014640375696340566
3.8000002	0.3748688	0.016811712284297547
3.8100002	0.37213513333333337	0.006313108605380808
3.8200002	0.3715724333333334	0.013994657177056289
3.8300002	0.3725223	0.007264822002637099
3.8400002	0.3697163666666667	0.007135857095915895
3.8500001000000004	0.3673623	0.014100579317177005
3.8600001000000006	0.36622669999999996	0.020015716861256774
3.8700001000000004	0.3659955	0.015229014162774966
3.8800001	0.3729505	0.0069620826654098016
3.8900001000000004	0.36420749999999996	0.021940792598035278
3.9000001	0.36759673333333337	0.016577787350045635
3.9100001000000004	0.3679190666666667	0.017853375229724276
3.9200001	0.36603633333333335	0.019818095340958797
3.9300002999999997	0.36787729999999996	0.024433220014357528
3.9400003	0.3628635333333334	0.020645169653052808
3.9500002999999997	0.36286453333333335	0.02532697304403615
3.9600003	0.3597459666666667	0.017897232447876766
3.9700002999999997	0.35951629999999996	0.02692636548199554
3.9800002999999995	0.36133119999999996	0.01915787369281883
3.9900002	0.3659385000000001	0.01689478296782767
4.0	0.36463333333333336	0.017574409304535202
4.0100002	0.3678222666666667	0.010437600436083634
4.02	0.37090416666666665	0.01254235017623622
4.0300002	0.3668194333333334	0.013451393542058475
4.04	0.369582	0.014270710136149509
4.0500002	0.3679402666666666	0.023189838581657553
4.0600004	0.36921203333333336	0.004746667951661809
4.0700002	0.37357409999999996	0.006270721001607396
4.0800004	0.3637001	0.004667097632362108
4.0900002	0.3584245666666667	0.006697580427537501
4.1000004	0.3566147333333333	0.007389224425021418
4.110000100000001	0.36845846666666665	0.007580302277833888
4.1200004	0.3662681333333333	0.008955088171723009
4.1300001	0.3638844333333333	0.008282389392158111
4.1400003	0.3714728	0.008491921035313524
4.150000100000001	0.3643106333333333	0.006715657764011859
4.1600003	0.36909163333333334	0.011603052749312719
4.1700001	0.3701776666666667	0.017305414813385264
4.1800003	0.3771987666666667	0.014974451178368224
4.190000100000001	0.3659520333333333	0.014311657128834993
4.2000003	0.3693932	0.009678051720775212
4.21	0.3746685333333333	0.015945444166386036
4.2200003	0.3706240333333333	0.019334557884092766
4.23	0.3712078999999999	0.0069039835660290975
4.2400002	0.37513890000000005	0.009279702846535553
4.25	0.3687723	0.014727762055383722
4.2600002	0.3691412	0.018921837161597205
4.27	0.3632031	0.014865050006306765
4.2800002	0.36637006666666666	0.012277098722553845
4.2900004	0.3617513333333333	0.015953046345552103
4.3000002	0.35767180000000004	0.020580448215964612
4.3100004	0.3573039	0.017731247442861975
4.3200002	0.3567169333333333	0.01793210675892079
4.3300004	0.3604000666666667	0.01307012713263853
4.3400002	0.3627566	0.01794965525797086
4.3500004	0.36589553333333336	0.01586019514676078
4.3600001	0.3686072	0.013506457030250399
4.3700004	0.36746266666666666	0.022604942180048434
4.380000099999999	0.35986199999999996	0.013243615039708764
4.3900003	0.35850429999999994	0.012316945919748079
4.4000001	0.36108350000000006	0.016420443940710006
4.4100003	0.35827269999999994	0.007927630598735016
4.420000099999999	0.36024933333333337	0.00948868271697041
4.4300003	0.36037036666666666	0.021226251806980262
